0	9.20678887
4	26.9192747
8	6.87280326
12	25.2850223
16	8.55713583
20	32.8942516
24	14.5805144
28	48.9999154
32	3.78881279
36	51.5401828
40	6.90431882
44	11.4399582
48	20.223914
52	49.5600256
56	38.4920938
60	5.81029491
64	1.79158331
68	14.2926026
72	9.46328415
76	17.9518766
80	24.8951165
84	26.4812637
88	22.0424012
92	37.5914128
96	60.5383075
100	70.8630595
104	24.4423714
108	30.4750739
112	55.5136906
116	52.8945966
120	22.2934193
124	35.4565989
128	70.8616254
132	81.3522865
136	120.945764
140	96.7029474
144	82.9368219
148	85.4092623
152	133.381796
156	139.514839
160	113.485943
164	142.539857
168	152.281892
172	186.795814
176	161.765446
180	189.733143
184	245.26293
188	223.692332
192	231.870803
196	329.902529
